extracted_file,source_bucket,duplicate_group_count,sha256,width,height,size_bytes,relative_path,original_path
001-apple-touch-icon.png,Marketing/Logo Images,5,bd0d009b5aa8a1bc6f45ec405cfdb82a763a7c3dc751e9adf5c033e572e57557,1024,1024,1337741,Marketing/Logo Images/apple-touch-icon.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/apple-touch-icon.png
002-ChatGPT-Image-Jun-17-2026-11_33_18-PM.png,Marketing/Logo Images,1,04def0a9da90846f3d8b31f40775f6cb7273405c80615410d0169bb9de497124,1254,1254,837925,"Marketing/Logo Images/ChatGPT Image Jun 17, 2026, 11_33_18 PM.png","/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/ChatGPT Image Jun 17, 2026, 11_33_18 PM.png"
003-ChatGPT-Image-May-12-2026-10_12_42-PM.png,Marketing/Logo Images,2,bd24a14cc7e6ed9796cdc7b19eb3aadd48ca0ecf0ae7b952e4a3290e69d8157e,1536,1024,2082809,"Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM.png","/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM.png"
004-8a69fb4f-3e4c-4c8b-a11c-f56f3cfcd51e.png,Marketing/Logo Images,1,686463fc510f5f8820e1600ca05bded97b986acac4260982fd9beb2c7f6ffe0e,1536,1024,2084155,"Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM_files/8a69fb4f-3e4c-4c8b-a11c-f56f3cfcd51e.png","/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM_files/8a69fb4f-3e4c-4c8b-a11c-f56f3cfcd51e.png"
005-br.png,Marketing/Logo Images,1,47bee9cf3c984037374590d2d156aa0399734f20d1f94999d70b5379e87aeab3,120,120,1635,"Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM_files/br.png","/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM_files/br.png"
006-d57ecf13-b61b-4c33-821f-d171b97f97c5.png,Marketing/Logo Images,2,bd24a14cc7e6ed9796cdc7b19eb3aadd48ca0ecf0ae7b952e4a3290e69d8157e,1536,1024,2082809,"Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM_files/d57ecf13-b61b-4c33-821f-d171b97f97c5.png","/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM_files/d57ecf13-b61b-4c33-821f-d171b97f97c5.png"
007-Logo-Idea.png,Marketing/Logo Images,4,be1515555f4df811cb4679ca3645374511d1af7d8a33bfbf58b1f5bcd9fb60a4,1774,887,635242,"Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM_files/Logo Idea.PNG","/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/ChatGPT Image May 12, 2026, 10_12_42 PM_files/Logo Idea.PNG"
008-COVER-2.png,Marketing/Logo Images,1,0e2afe0f7c98ab2f920f288bb988be9468f4c311c90993dbefa9cbb8a3855e05,1983,793,1253727,Marketing/Logo Images/COVER 2.PNG,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/COVER 2.PNG
009-family.jpg,Marketing/Logo Images,1,d82f17d1affa105da4e5193d3000abe43183fc54540ab2e5d788c9e687585e59,629,957,150560,Marketing/Logo Images/family.jpg,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/family.jpg
010-Logo-Idea.png,Marketing/Logo Images,4,be1515555f4df811cb4679ca3645374511d1af7d8a33bfbf58b1f5bcd9fb60a4,1774,887,635242,Marketing/Logo Images/Logo Idea.PNG,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/Logo Idea.PNG
011-Profile-Logo.png,Marketing/Logo Images,5,bd0d009b5aa8a1bc6f45ec405cfdb82a763a7c3dc751e9adf5c033e572e57557,1024,1024,1337741,Marketing/Logo Images/Profile Logo.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/Profile Logo.png
012-Profile-Logo-White.png,Marketing/Logo Images,1,2cd8ecc7347208807fd03da70f57e6910d27511e7e98bb7794258e66e4f0bde6,1254,1254,749285,Marketing/Logo Images/Profile-Logo-White.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/Profile-Logo-White.png
013-RH_logo_white_background.jpg,Marketing/Logo Images,1,f62a677f8a5c32b805f30328d9821369897105a959417fe62a12e1bf723b835a,1254,1254,155613,Marketing/Logo Images/RH_logo_white_background.jpg,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Marketing/Logo Images/RH_logo_white_background.jpg
014-Main_Logo.png,filename keyword match,1,3939106c6e42edf2a16584f60e637ab7f68ba3ee6a746027fa6da4b52677e66a,1254,1254,1610215,Websites/Cortez Capital/Main_Logo.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Cortez Capital/Main_Logo.png
015-Profile_Logo.png,filename keyword match,1,c4254808d82fbdf14159e810b5a366e28bb217894670c2f2303a39439517f167,1254,1254,1804752,Websites/Cortez Capital/Profile_Logo.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Cortez Capital/Profile_Logo.png
016-eastland-logo.jpg,filename keyword match,2,a48e8da325944c2e4b989e623c5cd5b390cf20fb4e7bbe6b70c089823492d389,1536,1024,108880,Websites/Eastland FCOG/images/eastland-logo.jpg,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Eastland FCOG/images/eastland-logo.jpg
017-eastland-logo.webp,filename keyword match,1,009226e23c1d53d485af7d46dd2507c1ed9e32d686b8c84236848e32c2f2c6be,1536,1024,47562,Websites/Eastland FCOG/images/eastland-logo.webp,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Eastland FCOG/images/eastland-logo.webp
018-Transparent_Profile.png,filename keyword match,1,2156c6cf46952fc34a5fc070039f25de75fe6efdf5ae0820189ab3a6def5a583,1536,1024,2186093,Websites/Helmgood Holdings LLC/Transparent_Profile.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Helmgood Holdings LLC/Transparent_Profile.png
019-brand-card.jpeg,filename keyword match,2,f539bb6f51f0d6c4de9f688a3a4c553a868a86dac6829012d78914c94821a6bd,1254,1254,197723,Websites/Rogers-Holdings-LLC-Website/brand-card.jpeg,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/brand-card.jpeg
020-eastland-project-logo.jpg,filename keyword match,2,a48e8da325944c2e4b989e623c5cd5b390cf20fb4e7bbe6b70c089823492d389,1536,1024,108880,Websites/Rogers-Holdings-LLC-Website/eastland-project-logo.jpg,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/eastland-project-logo.jpg
021-Logo-Idea-copy.png,filename keyword match,4,be1515555f4df811cb4679ca3645374511d1af7d8a33bfbf58b1f5bcd9fb60a4,1774,887,635242,Websites/Rogers-Holdings-LLC-Website/Logo Idea copy.PNG,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/Logo Idea copy.PNG
022-Logo-Idea.png,filename keyword match,4,be1515555f4df811cb4679ca3645374511d1af7d8a33bfbf58b1f5bcd9fb60a4,1774,887,635242,Websites/Rogers-Holdings-LLC-Website/Logo Idea.PNG,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/Logo Idea.PNG
023-Profile-Logo-copy.png,filename keyword match,5,bd0d009b5aa8a1bc6f45ec405cfdb82a763a7c3dc751e9adf5c033e572e57557,1024,1024,1337741,Websites/Rogers-Holdings-LLC-Website/Profile Logo copy.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/Profile Logo copy.png
024-Profile-Logo.png,filename keyword match,5,bd0d009b5aa8a1bc6f45ec405cfdb82a763a7c3dc751e9adf5c033e572e57557,1024,1024,1337741,Websites/Rogers-Holdings-LLC-Website/Profile Logo.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/Profile Logo.png
025-brand-card.jpeg,filename keyword match,2,f539bb6f51f0d6c4de9f688a3a4c553a868a86dac6829012d78914c94821a6bd,1254,1254,197723,Websites/Rogers-Holdings-LLC-Website/time-tracker/assets/brand-card.jpeg,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/time-tracker/assets/brand-card.jpeg
026-profile-logo-180.png,filename keyword match,1,3c8cbc92a7f718d80458c892352d9af9994c57a86f6e5c00778e0ef0262e578f,180,180,6967,Websites/Rogers-Holdings-LLC-Website/time-tracker/assets/profile-logo-180.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/time-tracker/assets/profile-logo-180.png
027-profile-logo.png,filename keyword match,5,bd0d009b5aa8a1bc6f45ec405cfdb82a763a7c3dc751e9adf5c033e572e57557,1024,1024,1337741,Websites/Rogers-Holdings-LLC-Website/time-tracker/assets/profile-logo.png,/Users/briankeithrogers/Library/Mobile Documents/com~apple~CloudDocs/Business/Rogers Holdings LLC/Websites/Rogers-Holdings-LLC-Website/time-tracker/assets/profile-logo.png
